depth,seed,seq_len,accel_answer,orth_answer,accel_content,orth_content,exit_answer,settle_answer
3,0,211,21.942325592041016,0.4729732573032379,18.191852569580078,0.2738122045993805,14,23
3,1,211,22.092012405395508,0.46134090423583984,18.009857177734375,0.2666870355606079,14,22
3,2,211,21.855266571044922,0.4741514027118683,17.979957580566406,0.26549115777015686,13,23
2,0,161,21.73638343811035,0.3386387825012207,17.711597442626953,0.07611861824989319,14,18
2,1,161,21.553983688354492,0.3542019724845886,17.81810760498047,0.04145323485136032,15,18
2,2,161,23.179285049438477,0.30689898133277893,17.52774429321289,0.08944971859455109,15,18
2,0,120,20.583871841430664,0.23760190606117249,19.272722244262695,-0.051065780222415924,13,14
2,1,120,21.57330322265625,0.2026820331811905,18.875730514526367,-0.025387827306985855,14,14
2,2,120,21.542766571044922,0.2193952202796936,19.264245986938477,-0.069777712225914,13,15
2,0,123,21.835060119628906,0.434646338224411,17.704586029052734,0.331949919462204,13,15
2,1,123,21.260379791259766,0.4452134966850281,17.399858474731445,0.32877421379089355,13,15
2,2,123,22.852296829223633,0.4187401533126831,17.403078079223633,0.32547640800476074,14,17
4,0,241,22.496788024902344,0.49079805612564087,18.23553466796875,0.25515273213386536,16,23
4,1,241,22.77987289428711,0.48355498909950256,17.944000244140625,0.25563377141952515,16,23
4,2,241,20.73918914794922,0.5191290974617004,18.144208908081055,0.25244686007499695,15,23
2,0,122,20.39459991455078,0.2940334677696228,18.201580047607422,-0.03835037350654602,13,14
2,1,122,22.78778839111328,0.2975413501262665,18.185489654541016,-0.00972951389849186,13,14
2,2,122,20.56022071838379,0.2876344323158264,17.646099090576172,-0.007614477537572384,12,14
2,0,121,21.45872688293457,0.4721449315547943,17.480899810791016,0.30523911118507385,15,26
2,1,121,22.312137603759766,0.4615967869758606,17.23351287841797,0.3102205693721771,14,25
2,2,121,22.026792526245117,0.4636140465736389,17.251840591430664,0.30581405758857727,14,25
4,0,244,21.918033599853516,0.465035080909729,17.996994018554688,0.1349305659532547,15,24
4,1,244,22.032142639160156,0.4810628294944763,17.94690704345703,0.1509365290403366,14,24
4,2,244,23.03355598449707,0.47276800870895386,17.666976928710938,0.2007962018251419,14,24
