n_ops,kind,task_seed,init_seed,seq_len,winding,steps_settle,contraction,lyap
6,track,1,1,28,0.6278155446052551,14,-0.06779440492391586,-0.04693055331788874
6,track,1,2,28,0.6423338651657104,14,-0.06682302057743073,-0.04693055331788874
6,track,1,3,28,0.6380839943885803,13,-0.06595732271671295,-0.04693055331788874
6,track,1,4,28,0.6326630115509033,13,-0.06645872443914413,-0.04693055331788874
6,local,1,0,31,0.7038818597793579,15,-0.0668664276599884,-0.047488046182667484
6,local,1,1,31,0.4493524432182312,15,-0.06666089594364166,-0.047488046182667484
6,local,1,2,31,0.6747822761535645,15,-0.06682030111551285,-0.047488046182667484
6,local,1,3,31,0.6966129541397095,15,-0.06513398885726929,-0.047488046182667484
6,local,1,4,31,0.6973357200622559,15,-0.06917713582515717,-0.047488046182667484
6,track,2,0,28,0.6412455439567566,14,-0.06553860008716583,-0.04570463452703105
6,track,2,1,28,0.6346976161003113,14,-0.06649202853441238,-0.04570463452703105
6,track,2,2,28,0.6410828828811646,14,-0.06754245609045029,-0.04570463452703105
6,track,2,3,28,0.6438677906990051,13,-0.06799012422561646,-0.04570463452703105
6,track,2,4,28,0.6436973214149475,14,-0.06665963679552078,-0.04570463452703105
6,local,2,0,31,0.7062684297561646,15,-0.06722696125507355,-0.047976572066886616
6,local,2,1,31,0.6933994293212891,14,-0.06641437113285065,-0.047976572066886616
6,local,2,2,31,0.6602191925048828,15,-0.06874796748161316,-0.047976572066886616
6,local,2,3,31,0.7009322643280029,15,-0.06595379114151001,-0.047976572066886616
6,local,2,4,31,0.7068243026733398,13,-0.06896594166755676,-0.047976572066886616
6,track,3,0,28,0.641093373298645,13,-0.06537901610136032,-0.045277577086996576
6,track,3,1,28,0.6387023329734802,14,-0.06835166364908218,-0.045277577086996576
6,track,3,2,28,0.647778332233429,14,-0.06768211722373962,-0.045277577086996576
6,track,3,3,28,0.6446090936660767,13,-0.0681237056851387,-0.045277577086996576
6,track,3,4,28,0.6434754133224487,13,-0.0673351064324379,-0.045277577086996576
6,local,3,0,31,0.7051045298576355,15,-0.06691914796829224,-0.04697820992915183
6,local,3,1,31,0.6368785500526428,14,-0.06760041415691376,-0.04697820992915183
6,local,3,2,31,0.6783840656280518,14,-0.0656207948923111,-0.04697820992915183
6,local,3,3,31,0.7135412693023682,15,-0.06598829478025436,-0.04697820992915183
6,local,3,4,31,0.7155051827430725,14,-0.0664995014667511,-0.04697820992915183
6,track,4,0,28,0.6402338147163391,12,-0.06742022931575775,-0.04675079881714234
6,track,4,1,28,0.634498655796051,13,-0.06803413480520248,-0.04675079881714234
6,track,4,2,28,0.6436231136322021,13,-0.06725028902292252,-0.04675079881714234
6,track,4,3,28,0.6379373073577881,13,-0.06798307597637177,-0.04675079881714234
6,track,4,4,28,0.6429490447044373,13,-0.06611832976341248,-0.04675079881714234
6,local,4,0,31,0.5988268256187439,15,-0.0662156417965889,-0.04781087333227306
6,local,4,1,31,0.593452513217926,15,-0.06664029508829117,-0.04781087333227306
6,local,4,2,31,0.5808046460151672,15,-0.06804707646369934,-0.04781087333227306
6,local,4,3,31,0.6005451083183289,15,-0.06783151626586914,-0.04781087333227306
6,local,4,4,31,0.6058881282806396,14,-0.06830611079931259,-0.04781087333227306
6,track,5,0,28,0.6561700105667114,13,-0.0654730275273323,-0.04524623468576251
6,track,5,1,28,0.6486020088195801,13,-0.06853635609149933,-0.04524623468576251
6,track,5,2,28,0.6548008322715759,14,-0.06768015772104263,-0.04524623468576251
6,track,5,3,28,0.6533389687538147,13,-0.06810354441404343,-0.04524623468576251
6,track,5,4,28,0.6504520773887634,13,-0.06618554145097733,-0.04524623468576251
6,local,5,0,31,0.6044726371765137,16,-0.06796570867300034,-0.046290143002199864
6,local,5,1,31,0.5928234457969666,16,-0.06555924564599991,-0.046290143002199864
6,local,5,2,31,0.5842207074165344,16,-0.06795791536569595,-0.046290143002199864
6,local,5,3,31,0.5857459902763367,16,-0.06491358578205109,-0.046290143002199864
6,local,5,4,31,0.5805922746658325,16,-0.06605290621519089,-0.046290143002199864
8,track,0,0,34,0.6186065077781677,13,-0.0662093535065651,-0.05029130242696721
8,track,0,1,34,0.6401240825653076,13,-0.06889624148607254,-0.05029130242696721
8,track,0,2,34,0.6243218779563904,13,-0.06240635737776756,-0.05029130242696721
8,track,0,3,34,0.63483065366745,13,-0.0668712928891182,-0.05029130242696721
8,track,0,4,34,0.6396191120147705,13,-0.06453084200620651,-0.05029130242696721
8,local,0,0,37,0.5803633332252502,14,-0.06577356159687042,-0.04821063829278881
8,local,0,1,37,0.589287281036377,16,-0.06757260113954544,-0.04821063829278881
8,local,0,2,37,0.5870236754417419,16,-0.0676332637667656,-0.04821063829278881
8,local,0,3,37,0.6042360067367554,16,-0.0669962540268898,-0.04821063829278881
8,local,0,4,37,0.5900120735168457,15,-0.0666259303689003,-0.04821063829278881
8,track,1,0,34,0.6168237924575806,14,-0.06740836054086685,-0.051065988093955704
8,track,1,1,34,0.6344214081764221,14,-0.06694518774747849,-0.051065988093955704
8,track,1,2,34,0.6307706236839294,13,-0.0675981193780899,-0.051065988093955704
8,track,1,3,34,0.6294589042663574,15,-0.06828663498163223,-0.051065988093955704
8,track,1,4,34,0.640885055065155,14,-0.06789882481098175,-0.051065988093955704
8,local,1,0,37,0.6964452266693115,15,-0.06690376251935959,-0.046156491563679306
8,local,1,1,37,0.7078511714935303,16,-0.06489897519350052,-0.046156491563679306
